"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify user cannot login in the system with invalid username","firefox","2026-07-01","skipped","2026-07-01","Negative username test","Login.spec.ts","",""
"","1","Verify user cannot login in the system with invalid username","chromium","2026-07-01","skipped","2026-07-01","Negative username test","Login_POM.spec.ts","",""
"","0","Verify user cannot login in the system with invalid Password","webkit","2026-07-01","skipped","2026-07-01","Negative password test","Login_POM.spec.ts","",""
"","0","Verify user cannot login in the system with invalid username","webkit","2026-07-01","skipped","2026-07-01","Negative username test","Login.spec.ts","",""
"","1","Verify user can login in to the system with valid credentials","chromium","2026-07-01","skipped","2026-07-01","Login Page","Login.spec.ts","",""
"","0","Verify user can login in to the system with valid credentials","webkit","2026-07-01","skipped","2026-07-01","Login Page","Login.spec.ts","",""
"","0","Verify user cannot login in the system with invalid Password","webkit","2026-07-01","skipped","2026-07-01","Negative password test","Login.spec.ts","",""
"","0","Verify user cannot login in the system with invalid Password","firefox","2026-07-01","skipped","2026-07-01","Negative password test","Login.spec.ts","",""
"","1","Verify user cannot login in the system with invalid username","chromium","2026-07-01","skipped","2026-07-01","Negative username test","Login.spec.ts","",""
"","2","GET /objects/1 returns a valid object payload","chromium","2026-07-01","skipped","2026-07-01","","api\get-api.spec.ts","",""
"","0","Verify user cannot login in the system with invalid username","webkit","2026-07-01","skipped","2026-07-01","Negative username test","Login_POM.spec.ts","",""
"","7396","Verify user cannot login in the system with invalid Password","firefox","2026-07-01","passed","2026-07-01","Negative password test","Login_POM.spec.ts","",""
"","31482","Verify user can login in to the system with valid credentials","firefox","2026-07-01","broken","2026-07-01","Login Page","Login_POM.spec.ts","",""
"","0","Verify user can login in to the system with valid credentials","firefox","2026-07-01","skipped","2026-07-01","Login Page","Login.spec.ts","",""
"","3","test","chromium","2026-07-01","skipped","2026-07-01","","Functions.spec.ts","",""
"","1","test","firefox","2026-07-01","skipped","2026-07-01","","Functions.spec.ts","",""
"","0","Verify user cannot login in the system with invalid Password","chromium","2026-07-01","skipped","2026-07-01","Negative password test","Login.spec.ts","",""
"","0","GET /objects/1 returns a valid object payload","firefox","2026-07-01","skipped","2026-07-01","","api\get-api.spec.ts","",""
"","0","Verify user cannot login in the system with invalid Password","chromium","2026-07-01","skipped","2026-07-01","Negative password test","Login_POM.spec.ts","",""
"","14757","Verify user cannot login in the system with invalid username","firefox","2026-07-01","passed","2026-07-01","Negative username test","Login_POM.spec.ts","",""
"","0","Verify user can login in to the system with valid credentials","chromium","2026-07-01","skipped","2026-07-01","Login Page","Login_POM.spec.ts","",""
"","0","Verify user can login in to the system with valid credentials","webkit","2026-07-01","skipped","2026-07-01","Login Page","Login_POM.spec.ts","",""
"","0","test","webkit","2026-07-01","skipped","2026-07-01","","Functions.spec.ts","",""
"","0","GET /objects/1 returns a valid object payload","webkit","2026-07-01","skipped","2026-07-01","","api\get-api.spec.ts","",""
